Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
192.168.222.92,47618,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,116.0,0.0,United States
173.194.76.188,5228,192.168.222.92,47618,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
192.168.222.92,52703,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,91.0,0.0,Not found
192.168.222.1,53,192.168.222.92,52703,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",17,119.0,0.0,Not found
216.58.212.206,443,192.168.222.92,33194,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,1162.0,0.0,Not found
192.168.222.92,43161,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,91.0,0.0,Not found
192.168.222.92,33194,216.58.212.206,443,"('ams16s21-in-f206.1e100.net', [], ['216.58.212.206'])",6,52.0,0.0,United States
216.58.212.206,443,192.168.222.92,33194,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,425.0,0.0,Not found
216.58.212.206,443,192.168.222.92,33194,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,79.0,0.0,Not found
192.168.222.92,33194,216.58.212.206,443,"('ams16s21-in-f206.1e100.net', [], ['216.58.212.206'])",6,52.0,0.0,United States
192.168.222.92,33194,216.58.212.206,443,"('ams16s21-in-f206.1e100.net', [], ['216.58.212.206'])",6,52.0,0.0,United States
192.168.222.1,53,192.168.222.92,43161,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",17,107.0,0.0,Not found
192.168.222.92,47618,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,465.0,0.0,United States
173.194.76.188,5228,192.168.222.92,47618,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
173.194.76.188,5228,192.168.222.92,47618,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,581.0,0.0,Not found
192.168.222.92,47618,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,52.0,0.0,United States
173.194.76.188,5228,192.168.222.92,47618,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,136.0,0.0,Not found
192.168.222.92,47618,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,52.0,0.0,United States
173.194.76.188,5228,192.168.222.92,47618,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,86.0,0.0,Not found
192.168.222.92,47618,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,52.0,0.0,United States
192.168.222.92,47772,172.217.16.234,443,"('lhr48s28-in-f10.1e100.net', [], ['172.217.16.234'])",6,60.0,0.0,United States
172.217.16.234,443,192.168.222.92,47772,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,60.0,0.0,Not found
192.168.222.92,47772,172.217.16.234,443,"('mad08s04-in-f10.1e100.net', [], ['172.217.16.234'])",6,52.0,0.0,United States
192.168.222.92,47772,172.217.16.234,443,"('mad08s04-in-f10.1e100.net', [], ['172.217.16.234'])",6,569.0,0.0,United States
172.217.16.234,443,192.168.222.92,47772,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
172.217.16.234,443,192.168.222.92,47772,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,4306.0,128.0,Not found
172.217.16.234,443,192.168.222.92,47772,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,478.0,128.0,Not found
192.168.222.92,47772,172.217.16.234,443,"('mad08s04-in-f10.1e100.net', [], ['172.217.16.234'])",6,52.0,0.0,United States
192.168.222.92,47772,172.217.16.234,443,"('mad08s04-in-f10.1e100.net', [], ['172.217.16.234'])",6,52.0,0.0,United States
192.168.222.92,47772,172.217.16.234,443,"('mad08s04-in-f10.1e100.net', [], ['172.217.16.234'])",6,64.0,0.0,United States
192.168.222.92,47772,172.217.16.234,443,"('mad08s04-in-f10.1e100.net', [], ['172.217.16.234'])",6,52.0,0.0,United States
52:54:00:5a:4f:3b,192.168.222.1,0,0,0,0,,,
52:54:00:ea:05:ae,192.168.222.92,0,0,0,0,,,
